epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,7488.83,1.0578,1.09237,1.43208,0.02033,0.82113,0.80571,0.84419,0.6473,0.97489,0.93474,1.46424,0.02109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,7574.55,1.05567,1.09071,1.42815,0.02027,0.859,0.78856,0.84843,0.65638,0.95736,0.90273,1.44785,0.02004,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,7660.61,1.05456,1.0768,1.42421,0.02002,0.84295,0.79839,0.84839,0.65494,0.96916,0.92171,1.46051,0.02119,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,7744.38,1.05106,1.0804,1.42348,0.01959,0.85715,0.79197,0.84681,0.6496,0.98229,0.92127,1.4604,0.02138,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,7829.11,1.0529,1.07633,1.41785,0.02035,0.83996,0.80007,0.84361,0.65367,0.96085,0.91696,1.4385,0.02041,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,7914.31,1.05373,1.08334,1.42586,0.02068,0.84951,0.78181,0.8452,0.64695,0.96632,0.91953,1.44283,0.02136,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,7998.75,1.04498,1.07977,1.43008,0.02014,0.86467,0.78489,0.84878,0.65977,0.95122,0.88122,1.42867,0.02056,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,8084.54,1.04256,1.0762,1.42477,0.02064,0.84284,0.79923,0.84299,0.65113,0.96238,0.91012,1.44219,0.021,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,8170.69,1.05359,1.0771,1.4248,0.02008,0.85815,0.78577,0.85086,0.65783,0.96057,0.90171,1.44703,0.02057,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,8256.6,1.04111,1.06626,1.42049,0.01962,0.86253,0.7896,0.84937,0.65629,0.94847,0.892,1.43748,0.02025,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,8343.04,1.03863,1.06816,1.41897,0.02027,0.85834,0.79493,0.85434,0.66545,0.93305,0.87451,1.41288,0.0207,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,8430.38,1.03319,1.06109,1.40715,0.02004,0.84406,0.80177,0.85356,0.65664,0.9577,0.89064,1.43564,0.01989,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,8517.21,1.032,1.05498,1.40517,0.01902,0.85169,0.80109,0.85006,0.66147,0.94826,0.89162,1.42463,0.02053,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,8603.16,1.0361,1.06654,1.41393,0.01945,0.85564,0.80493,0.85965,0.67089,0.92423,0.85682,1.41481,0.01983,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
